x, f(x), P_n(x)
-3.141500 -0.000093 5.194633
-3.078670 -0.062881 4.703658
-3.015840 -0.125421 4.239482
-2.953010 -0.187467 3.801286
-2.890180 -0.248772 3.388265
-2.827350 -0.309096 2.999622
-2.764520 -0.368200 2.634573
-2.701690 -0.425851 2.292345
-2.638860 -0.481822 1.972176
-2.576030 -0.535891 1.673314
-2.513200 -0.587845 1.395020
-2.450370 -0.637480 1.136563
-2.387540 -0.684598 0.897227
-2.324710 -0.729016 0.676305
-2.261880 -0.770556 0.473100
-2.199050 -0.809055 0.286928
-2.136220 -0.844362 0.117116
-2.073390 -0.876336 -0.037000
-2.010560 -0.904852 -0.176070
-1.947730 -0.929798 -0.300734
-1.884900 -0.951074 -0.411623
-1.822070 -0.968597 -0.509354
-1.759240 -0.982297 -0.594534
-1.696410 -0.992121 -0.667760
-1.633580 -0.998030 -0.729616
-1.570750 -1.000000 -0.780676
-1.507920 -0.998024 -0.821503
-1.445090 -0.992109 -0.852648
-1.382260 -0.982280 -0.874652
-1.319430 -0.968573 -0.888045
-1.256600 -0.951045 -0.893345
-1.193770 -0.929764 -0.891059
-1.130940 -0.904813 -0.881683
-1.068110 -0.876292 -0.865704
-1.005280 -0.844312 -0.843594
-0.942450 -0.809001 -0.815816
-0.879620 -0.770497 -0.782824
-0.816790 -0.728952 -0.745057
-0.753960 -0.684531 -0.702945
-0.691130 -0.637408 -0.656907
-0.628300 -0.587770 -0.607350
-0.565470 -0.535813 -0.554671
-0.502640 -0.481741 -0.499256
-0.439810 -0.425768 -0.441478
-0.376980 -0.368114 -0.381701
-0.314150 -0.309008 -0.320277
-0.251320 -0.248683 -0.257547
-0.188490 -0.187376 -0.193841
-0.125660 -0.125330 -0.129477
-0.062830 -0.062789 -0.064765
-0.000000 -0.000000 -0.000000
0.062830 0.062789 0.064532
0.125660 0.125330 0.128556
0.188490 0.187376 0.191809
0.251320 0.248683 0.254039
0.314150 0.309008 0.315004
0.376980 0.368114 0.374474
0.439810 0.425768 0.432230
0.502640 0.481741 0.488064
0.565470 0.535813 0.541778
0.628300 0.587770 0.593188
0.691130 0.637408 0.642118
0.753960 0.684531 0.688404
0.816790 0.728952 0.731894
0.879620 0.770497 0.772447
0.942450 0.809001 0.809931
1.005280 0.844312 0.844228
1.068110 0.876292 0.875229
1.130940 0.904813 0.902837
1.193770 0.929764 0.926966
1.256600 0.951045 0.947541
1.319430 0.968573 0.964497
1.382260 0.982280 0.977783
1.445090 0.992109 0.987356
1.507920 0.998024 0.993186
1.570750 1.000000 0.995252
1.633580 0.998030 0.993547
1.696410 0.992121 0.988073
1.759240 0.982297 0.978844
1.822070 0.968597 0.965884
1.884900 0.951074 0.949229
1.947730 0.929798 0.928926
2.010560 0.904852 0.905034
2.073390 0.876336 0.877620
2.136220 0.844362 0.846765
2.199050 0.809055 0.812561
2.261880 0.770556 0.775110
2.324710 0.729016 0.734525
2.387540 0.684598 0.690931
2.450370 0.637480 0.644463
2.513200 0.587845 0.595268
2.576030 0.535891 0.543504
2.638860 0.481822 0.489339
2.701690 0.425851 0.432953
2.764520 0.368200 0.374538
2.827350 0.309096 0.314295
2.890180 0.248772 0.252438
2.953010 0.187467 0.189190
3.015840 0.125421 0.124788
3.078670 0.062881 0.059478
3.141500 0.000093 -0.006484
